Doctorate,Masters,Bachelors,Diploma,Certificate
Doctor of Philosophy in Environmental Science,Master of Science in Animal Science,Bachelor of Science in Animal Science with IT,Diploma in French (Several Levels),Certificate in Theology
Doctor of Philosophy in Agricultural Extension,Master of Science in Agricultural Economics,Bachelor of Science (Environmental Science with IT),Diploma in Public Relations,Certificate in Religion
Doctor of Philosophy in Agribusiness Management,Master of Science in Agricultural Extension,Bachelor of Science in Agricultural Education and Extension (with IT),"Dipoloma in Theology, Religion",Certificate in Journalism & Mass Media
Doctor of Philosophy in Agricultural Economics,Master of Science in Soil Science,Bachelor of Science in Agribusiness Management (with IT),Diploma in Journalism & Mass Media,Certificate in Social Work
Doctor of Philosophy in Soil Science,Master of Science in Agri-Business Management,Bachelor of Science in Agricultural Economics (with IT),Diploma in Social Work,Certificate in Public Relations
Doctor of Philosophy in Horticulture,Master of Science in Agronomy,Bachelor of Science in Soil Science and Plant Nutrition with IT,Diploma in Literature,Certificate in Theatre Development
Doctor of Philosophy in Genetics and Plant Breeding,Master of Science in Genetics and Plant Breeding,Bachelor of Science with IT,Diploma in Conflict Resolution,Certificate in French (Several Levels)
Doctor of Philosophy in Agronomy,Master of Science in Urban Environmental Planning and Management,Bachelor of Science in Fisheries and Aquaculture with IT,Diploma in Peace building,Certificate in Business Administration
Doctor of Philosophy in Animal Science,Master of Science in Environmental Sciences,Bachelor of Science in Aquatic Resource Conservation and Management with IT,Diploma in Film & Theatre Studies,Certificate in Micro Economics
Doctor of Philosophy in Fine Art,Master of Arts in Fine Art,Bachelor of Arts in Disaster Management with IT,Diploma in Business Administration,Certificate in Macro Economics
Doctor of Philosophy in Interior Design,Master of Arts in Interior Design,Bachelor of Science in Geospatial Information Science with IT,Diploma in Small Enterprise Finance,Certificate in Small Enterprise Finance
Doctor of Philosophy in Linguistics,Master of Arts in Linguistics,Bachelor of Science in Horticulture with IT,Diploma in Management,Certificate in Management
Doctor of Philosophy in Kiswahili,Master of Arts in Theoretical Linguistics,Bachelor of Science in Agronomy with IT,Diploma in Purchasing & Supply Management,Certificate in Enterprise Development & Management
Doctor of Philosophy in Mass Communication,Master of Arts in Applied Linguistics,Bachelor of Science in Agricultural Economics and Rural Development with IT,Diploma in Sales and Marketing,Certificate in e-Commerce & e-Business Systems
Doctor of Philosophy in Literature,Master of Arts in Kiswahili Studies,Bachelor of Science in Earth Sciences with IT,Diploma in Human Resource Management,Certificate in Entrepreneurship
Doctor of Philosophy in Sociology,Masters in Communication and Media,Bachelor of Arts (Music) with IT and Bachelor of Arts (Drama and Theatre Studies) with IT,Diploma in Management of Transport Systems,Certificate in Sales and Marketing
Doctor of Philosophy in Anthropology,Master of Arts in Literature,Bachelor of Arts in Language and Communication with IT,Diploma in Strategic Management,Certificate in Project design & Implementation
Doctor of Philosophy in Counselling Psychology,Masters of Arts Sociology,Bachelor of Arts (Kiswahili) with IT,Diploma in Enterpreneurship,Certificate in Human Resource Management
Doctor of Philosophy in French,Masters of Arts Social Policy,Bachelor of Arts in Communication Media Technology with IT,Diploma in Management of NGO's,Certificate in Strategic Purchasing & Supply Management
Doctor of Philosophy in Religion,Masters of Arts Anthropology,Bachelor of Arts in Communication Media Technology with IT,Diploma in Enterprise Management,Certificate in Youth & Women Group Programmes Management
Doctor of Philosophy in Philosophy,Master of Arts in Counselling Psychology,Bachelor of Arts program in Literature,Diploma in Health care Economics,Certificate in Management of Transport System
Doctor of Philosophy in Geography,Masters of Arts (French Studies),Bachelor of Arts in Criminology,Diploma in Project Management,Certificate in Guidance & Counselling
Doctor of Philosophy in Textile and Fashion Design,Master of Arts in Religion,Bachelor of Arts in Anthropology,Diploma in E-Commerce & e-Business,Certificate in Disability studies
Doctor of Philosophy in Communication and Media Studies,Master of Arts in Philosophy,Bachelor of Arts in Sociology,Diploma in Hospitality Management,Certificate in Special Needs Education
Doctor of Philosophy in Theology,Master of Arts in Fine Art,Bachelor of Arts in History and Archaeology,Diploma in Travel and Tourism,Certificate in School Administarion
Doctor of Philosophy in History,Masters of Arts in Interior Design,Bachelor of Arts in Counselling Psychology with Information Technology (IT),Diploma in Enterpreneurship Education,Certificate in Sign Language
Doctor of Philosophy in Music,Master of Arts in Geography,Bachelor of Arts (French) with IT/Bachelor of Education (French with IT),Diploma in Environmental Education,Certificate in Braille
Doctor of Philosophy in French Studies,Master of Arts in Music,Bachelor of Arts in Philosophy with IT,Diploma in Disability,Certificate in Special & Inclusive Education
Doctor of Philosophy in Design,Master of Arts in Communication and Media Studies,Bachelor of Arts in Religion with IT,Diploma in Early childhood Education,Certificate in Gender & Development in Education
Doctor of Philosophy in Accounting,Master of Arts in Anthropology,Bachelor of Arts in Fine Art with IT,Diploma in Sign Language,Certificate in Adult Education
Doctor of Philosophy in Finance,Master of Arts in Sociology,Bachelor of Arts in Design (Interior Design with IT),Diploma in Special needs Education,Certificate in Entrepreneurship Education
Doctor of Philosophy in Tourism Management,Master in Social Development and Management,Bachelor of Arts in Design (Fashion Design with IT),Diploma in Guidance & Counselling,Certificate in ICT Application in Education
Doctor of Philosophy in Hospitality Management,Master in Arts Social Policy,Bachelor of Science in Geography and Natural Resource Management with IT,Diploma in School Administration,Certificate in Education Evaluation
Doctor of Philosophy in Economics,Master of Arts in Social Science Research Methods,Bachelor of Science in Climate Change and Development with IT,Diploma in Educational Administration,Certificate in Pedagogical Skills
Doctor of Philosophy in Management Information Systems,Master of Arts in Kiswahili,Bachelor of Science in Ecotourism Management with IT,Diploma in Pedagogical Skills,Certificate in Special and Inclusive Education
Doctor of Philosophy in Operations Management,Master of Arts in Gender Studies,Bachelor of Science in Hotel and Institution Management with IT,Diploma in Education Evaluation,Certificate in Public Administration
Doctor of Philosophy in Procurement and Supply Chain Management,Master of Arts in Gender and Development,Bachelor of Arts in Drama and Theatre Studies with IT,Diploma in ICT Application in Education,Certificate in Community Development
Doctor of Philosophy in Business Administration,Master of Arts in History,Bachelor of Arts in Sociology and Anthropology with IT,Diploma in Diplomacy,Certificate in Peace And Security Studies
Doctor of Philosophy in Economics,Master of Arts in Psychology,Bachelor of Arts in Music with IT,Diploma in Public Administration,Certificate in Diplomacy
Doctor of Philosophy in Strategic Management,Master of Arts in Counselling Psychology,"Bachelor of Arts in Textile, Apparel Design and Fashion Merchandise with IT",Diploma in Peace And Security Studies,Certificate in Monitoring & Evaluation
Doctor of Philosophy in Marketing,Master of Arts in French Studies,Bachelor of Arts in Interior Design with IT,Diploma in Community Development,Certificate in Result Based Management
Doctor of Philosophy in Human Resource Management,Master of Arts in Fashion Design,Bachelor of Arts in Criminology with IT,Diploma in Actuarial Science,Certificate in Information & Communication Technology
Doctor of Philosophy in Accounting,Master of Science in Finance,Bachelor of Arts in Theology with IT,Diploma in Information and Communication Technology (DICT),Certicate in Enviromental Impact Assesment (EIA)
Doctor of Philosophy in Finance,Masters of Business Administration (MBA),Bachelor of Arts in Psychology with IT,Diploma in HIV & AIDS Determinants,Certificate in Climate Change Adaptation
Doctor of Philosophy in Tourism Management,Masters of Science Human Resource Management,Bachelor of Arts in English with IT,Diploma in Prevention & Management,Certicate in Hospitality & Tourism Operations
Doctor of Philosophy in Hospitality Management,Masters in Business Entrepreneurship,Bachelor of Arts in Literature with IT,Diploma in Health Economics,Certificate in Pre-University Entrance Course
Doctor of Philosophy in Economics,Master of Science in Eco-Tourism Management,Bachelor of Arts in Kiswahili with IT,Diploma in Medical Laboratory & Community Health,
Doctor of Philosophy in Management Information Systems,Master of Science in Tourism Management,Bachelor of Arts in Gender and Development with IT,Diploma in Urban Management,
Doctor of Philosophy in Operations Management,Master of Science in Hospitality Management,Bachelor of Business Information Technology,Diploma in Monitoring & Evaluation,
Doctor of Philosophy in Procurement and Supply Chain Management,Master of Economics (Economic Policy Analysis and Management),Bachelor of Procurement and Supply Chain Management,Diploma in Analytical Chemistry,
Doctor of Philosophy in Business Administration,Master of Economics (Applied Economics),Bachelor of Economics and Finance with IT,,
Doctor of Philosophy in Economics,Master of Arts in Economics,Bachelor of Economics and Statistics with IT,,
Doctor of Philosophy in Strategic Management,Master of Science in Supply Chain Management,Bachelor of Applied Economics with IT,,
Doctor of Philosophy in Marketing,Master of Education in Special Needs Education,Bachelor of Economics with IT,,
Doctor of Philosophy in Human Resource Management,Master of Education in Curriculum Studies,Bachelor of Science in Hotel and Institution Management with IT,,
Doctor of Philosophy in Curriculum Studies,Master of Education in Pedagogy,Bachelor of Science in Travel and Tourism Management with IT,,
Doctor of Philosophy in Educational Technology,Master of Education in Educational Planning and Economics,Bachelor of Business Entrepreneurship with IT,,
Doctor of Philosophy in Pedagogy Educational Administration,Master of Education in Educational Administration,Bachelor of Business Administration with IT (BBA),,
Doctor of Philosophy in Educational Psychology,Master of Education in Educational Technology,Bachelor of Science in Accounting and Finance with IT,,
Doctor of Philosophy in Guidance and Counselling,Master of Education in Educational Psychology,Bachelor of Arts in Business Studies with IT,,
Doctor of Philosophy in Planning and Economics of Education,Master of Education in Guidance and Counselling,Bachelor of Arts in Economics with IT,,
Doctor of Philosophy in Special Needs Education,Master of Education in Early Childhood Education Development,Bachelor of Science in Economics and Statistics with IT,,
Doctor of Philosophy in Educational Administration,Master of Education in Planning and Economics of Education,Bachelor of Science in Economics and Finance with IT,,
Doctor of Philosophy in Planning and Economics of Education,Master of Arts in Research and Public Policy (MRPP),Bachelor of Science in Computer Science,,
Doctor of Philosophy in Political Science,Master of Arts in International Relations,Bachelor of Science in Information Technology,,
Doctor of Philosophy in International Relations,Master of Arts in Political Science,Bachelor of Science in Information Communications and Technology,,
Doctor of Philosophy in Development Studies,Master of Research and Public Policy,Bachelor of Science in Computer Technology,,
Doctor of Philosophy in Entrepreneurship and Development,Master of Arts in Development Studies,Bachelor of Science in Information Systems,,
Doctor of Philosophy in Gender Studies,Master of Arts in Research and Public Policy,Bachelor of Education in Science (with IT),,
Doctor of Philosophy in Gender and Development,Master of Arts in Urban Development and Management,Bachelor of Education in Early Childhood Education (with IT),,
Doctor of Philosophy in Planning,Master of Arts in Monitoring and Evaluation,Bachelor of Education in Primary Education (with IT),,
Doctor of Philosophy in Biomedical Sciences,Master of Arts in Project Planning and Management,Bachelor of Education in Special Needs Education (with IT),,
Doctor of Philosophy in Community Nutrition and Development,Master of Medicine (MMed) in Family and Emergency Medicine,Bachelor of Education in Psychology,,
Doctor of Philosophy in Public Health Nutrition,Master of Medicine (MMed) in General Surgery,Bachelor of Education (Arts) with IT,,
Doctor of Philosophy in Public Health,Master of Medicine in Obstetrics and Gynaecology,Bachelor of Education (Community-Based Rehabilitation) with IT,,
Doctor of Philosophy in Medical Entomology and Vector Science,Master of Medicine in Internal Medicine,Bachelor of Education (Home Science) with IT,,
Doctor of Philosophy in Pharmacology,Master of Medicine in Paediatrics and Child Health,Bachelor of Arts in International Relations and Diplomacy (with IT),,
Doctor of Philosophy in Medical Parasitology,Master of Science in Human Anatomy,Bachelor of Arts in Political Science (with IT),,
Doctor of Philosophy in Medical Microbiology,Master of Science in Public Health Nutrition,Bachelor of Arts in Development Studies (with IT),,
Doctor of Philosophy in Medical Immunology,Master of Science in Community Nutrition and Development,Bachelor of Urban and Regional Planning (with IT),,
Doctor of Philosophy in Medical Genetics,Master of Science in Medical Biotechnology,Bachelor of Disaster Management (with IT),,
Doctor of Philosophy in Computational Biology and Bioinformatics,Master of Science in Medical Parasitology,Bachelor of Geospatial Information Science (with IT),,
Doctor of Philosophy in Medical Biotechnology,Master of Science in Medical Entomology and Vector Science,Bachelor of Pharmacy,,
Doctor of Philosophy in Chemistry,Master of Science in Medical Microbiology,Bachelor of Science in Pharmaceutical Sciences with IT,,
Doctor of Philosophy in Physics,Master of Science in Medical Immunology,Bachelor of Medicine and Bachelor of Surgery with IT,,
Doctor of Philosophy in Botany,Master of Science in Medical Cytology and Histology,Bachelor of Medicine in Family and Emergency Medicine,,
Doctor of Philosophy in Aquatic Sciences,Master of Science in Medical Haematology,Bachelor of Medicine in General Surgery,,
Doctor of Philosophy in Cell and Molecular Biology,Master of Science in Clinical Chemistry,Bachelor of Science in Medical Biotechnology with Information Technology (IT),,
Doctor of Philosophy in Conservation Biology,Master of Science in Pharmaceutical Sciences,Bachelor of Science in Nutrition and Dietetics with IT,,
Doctor of Philosophy in Molecular Microbiology and Biotechnology,Master of Science in Cell and Molecular Biology,Bachelor of Science in Health Systems Management with Information Technology,,
Doctor of Philosophy in Parasitology and Vector Biology,Master of Science in Biomedical Science and Technology,Bachelor of Science in Public Health with Information Technology,,
Doctor of Philosophy in Entomology,Master of Science in Public Health,Bachelor of Science in Health Records and Information Management with IT,,
Doctor of Philosophy in Applied Statistics,Master of Science in Medical Physiology,Bachelor of Science in Medical Laboratory Science with IT,,
Doctor of Philosophy in Pure Mathematics,Master of Science in Plant Ecology,Bachelor of Science in Nursing with IT,,
Doctor of Philosophy in Applied Mathematics,Master of Science in Plant Physiology and Biochemistry,Bachelor of Science in Analytical Chemistry with IT,,
Doctor of Philosophy in Computer Science,Master of Science in Developmental Botany,Bachelor of Science in Industrial Chemistry with IT,,
Doctor of Philosophy in Information Technology,Master of Science in Genetics,Bachelor of Science in Botany with IT,,
Doctor of Philosophy in Computer Technology,Master of Science in Plant Pathology,Bachelor of Science in Ethnobotany and Medicinal Plant Science with IT,,
Doctor of Philosophy in Information Systems,Master of Science in Chemistry,Bachelor of Science in Physics with IT,,
,Master of Science in Aquatic Resources Conservation and Fisheries Development,Bachelor of Science in Biochemistry with IT,,
,Master of Science in Conservation Biology,Bachelor of Science in Applied Statistics with IT,,
,Master of Science in Applied Entomology,Bachelor of Science in Actuarial Science with IT,,
,Master of Science in Applied Parasitology and Vector Biology,Bachelor of Science in Mathematical Science with IT,,
,Master of Science in Molecular Microbiology and Biotechnology,Bachelor of Science in Mathematics and Business with IT,,
,Master of Science in Physics,Bachelor of Science in Mathematics and Economics with IT,,
,Master of Science in Botany,Bachelor of Science in Mathematics and Computer Science,,
,Master of Science in Pure Mathematics,Bachelor of Science in Mathematics with IT,,
,Master of Science in Applied Mathematics,Bachelor of Business Administration (with IT),,
,Master of Science in Quantitative Research Methods,"Bachelor of Science (Actuarial Science, with IT)",,
,Master of Science in Applied Statistics,"Bachelor of Science (Applied Statistics, with IT)",,
,Master of Science in Actuarial Science,"Bachelor of Science (Mathematics and Business Studies, with IT)",,
,Master of Science in Research Methods,"Bachelor of Science (Mathematical Science, with IT)",,
,Master of Science in Computer Science,Bachelor of Procurement and Supply Chain Management (with IT),,
,Master of Science in Information Technology,,,
,Master of Science in Information Systems,,,
,Master of Science in Parallel and Distributed Computing,,,
,Master of Science in Mobile Computing and Networking,,,
,Master of Science in Computer Technology,,,
,Master of Science in Communication and Networking,,,
,Master of Science in Artificial Intelligence,,,
,Master of Public Health (MPH),,,
,Master of Science (MSc) in Quantitative Research Methods,,,
,Master of Arts (MA) in Monitoring and Evaluation,,,
,Master of Arts (MA) in Project Planning and Management,,,
,Master of Arts (MA) in Social Development and Management,,,
